isbn,category,title,description,image_path,edition,publisher,publication_year,author,stock,cost
4997182653691,Classics,1984,"Blackstone Audio presents a new recording of this dramatically popular book.George Orwell depicts a gray, totalitarian world dominated by Big Brother and its vast network of agents, including the Thought Police, a world in which news is manufactured according to the authorities' will and people live tepid lives by rote.Winston Smith, the hero with no heroic qualities, longs only for truth and decency. But living in a social system in which privacy does not exist and where those with unorthodox ideas are brainwashed or put to death, he knows there is no hope for him.The year 1984 has come and gone, yet George Orwell's nightmare vision in 1949 of the world we were becoming is still the great modern classic of negative Utopia.",cover_images/100.jpg,2,Blackstone Audiobooks,2007,George Orwell,1,10.47
7285800767157,Classics,Brave New World,"Originally published in 1932, this outstanding work of literature is more crucial and relevant today than ever before. Cloning, feel-good drugs, antiaging programs, and total social control through politics, programming, and media-has Aldous Huxley accurately predicted our future? With a storyteller's genius, he weaves these ethical controversies in a compelling narrative that dawns in the year 632 AF (After Ford, the deity). When Lenina and Bernard visit a savage reservation, we experience how Utopia can destroy humanity.A powerful work of speculative fiction that has enthralled and terrified readers for generations, Brave New World is both a warning to be heeded and thought-provoking yet satisfying entertainment. A USA Today bestseller. #5 on the Modern Library's 100 Best English-Language Novels of the Twentieth Century list. An Entertainment Weekly ""Must Read"" If You Love Westworld.",cover_images/101.jpg,3,Blackstone Audiobooks,2008,Aldous Huxley,25,10.97
3792335054388,Classics,Animal Farm,"George Orwell's classic satire of the Russian Revolution has become an intimate part of our contemporary culture, with its treatment of democratic, fascist, and socialist ideals through an animal fable. When the animals of Mr. Jones's Manor Farm revolt against their human rulers, they establish the democratic Animal Farm under the credo, All Animals Are Created Equal. Out of their cleverness, the pigs, Napoleon, Squealer, and Snowball, emerge as leaders of the new community. In a development of insidious familiarity, the pigs begin to assume ever greater amounts of power, while other animals, especially the faithful horse Boxer, assume more of the work. The climax of the story is the brutal betrayal of Boxer, when totalitarian rule is reestablished with the bloodstained postscript to the founding slogan: But Some Animals Are More Equal than Others.",cover_images/102.jpg,3,Blackstone Audiobooks,2007,George Orwell,42,5.97
3283183169099,Classics,Pride and Predjudice An A+ Audio Study Guide,"Pride and Prejudice by Jane Austen was first published in 1813. The story follows Elizabeth Bennet as she deals with issues of manners, upbringing, moral rightness, education and marriage in her aristocratic society of early 19th century England. Elizabeth is the second eldest of five daughters of a country gentleman living in the fictional town of Meryton in Hertfordshire, not far from London.
Though the story's setting is uniquely turn of the 19th century, it remains near the top of lists of 'most loved books' and still receives considerable attention from literary critics.
To date, the book has sold some 20 million copies worldwide.",cover_images/103.jpg,2,Gildan Audio,2013,Jane Austen,17,10.39
8352227656955,Classics,The Old Man and the Sea,"Hemingway's Pulitzer Prize-winning classic   The Old Man and the Sea is one of Hemingway's most enduring works. Told in language of great simplicity and power, it is the story of an old Cuban fisherman, down on his luck, and his supreme ordeal -- a relentless, agonizing battle with a giant marlin far out in the Gulf Stream. Here Hemingway recasts, in strikingly contemporary style, the classic theme of courage in the face of defeat, of personal triumph won from loss. Written in 1952, this hugely successful novella confirmed his power and presence in the literary world and played a large part in his winning the 1954 Nobel Prize for literature.   Ernest Hemingway did more to change the style of English prose than any other writer in the twentieth century, and for his efforts he was awarded the Nobel Prize for literature in 1954. Hemingway wrote in short, declarative sentences and was known for his tough, terse prose. Publication of The Sun Also Rises and A Farewell to Arms immediately established Ernest Hemingway as one of the greatest literary lights of the twentieth century. As part of the expatriate community in 1920s Paris, the former journalist and World War I ambulance driver began a career that lead to international fame. Hemingway was an aficionado of bullfighting and big-game hunting, and his main protagonists were always men and women of courage and conviction, who suffered unseen scars, both physical and emotional. He covered the Spanish Civil War, portraying it in fiction in his brilliant novel For Whom the Bell Tolls, and he subsequently covered World War II. His classic novella The Old Man and the Sea won the Pulitzer Prize in 1953. He died in 1961.",cover_images/104.jpg,3,Simon & Schuster Audio,2006,Ernest Hemingway,3,6.47
2173201820354,Classics,Atlas Shrugged,"'Who is John Galt?' is the immortal question posed at the beginning of Ayn Rand's masterpiece. The answer is the astonishing story of a man who said he would stop the motor of the world-and did. As passionate as it is profound, Atlas Shrugged is one of the most influential novels of our time. In it, Rand dramatizes the main tenets of Objectivism, her philosophy of rational selfishness. She explores the ramifications of her radical thinking in a world that penalizes human intelligence and integrity. Part mystery, part thriller, part philosophical inquiry, part volatile love affair, Atlas Shrugged is the book that confirmed Ayn Rand as one of the most popular novelist and most respected thinkers of the 20th century.",cover_images/105.jpg,1,Highbridge Audio,2000,Ayn Rand,17,12.23
1162894657389,Classics,A Tree Grows in Brooklyn,"A moving coming-of-age story set in the 1900's, A Tree Grows in Brooklyn follows the lives of 11-year-old Francie Nolan, her younger brother Neely, and their parents, Irish immigrants who have settled in the Williamsburg section of Brooklyn. Johnny Nolan is as loving and fanciful as they come, but he is also often drunk and out of work, unable to find his place in the land of opportunity. His wife Katie scrubs floors to put food on the table and clothes on her childrens' backs, instilling in them the values of being practical and planning ahead.When Johnny dies, leaving Katie pregnant, Francie, smart, pensive and hoping for something better, cannot believe that life can carry on as before. But with her own determination, and that of her mother behind her, Francie is able to move toward the future of her dreams, completing her education and heading oft to college, always carrying the beloved Brooklyn of her childhood in her heart.",cover_images/106.jpg,3,Harper Audio,2005,Betty Smith,15,14.99
4968796698384,Classics,Invisible Man,"Selected by the Modern Library as one of the 100 best novels of all timeRalph Elllison's Invisible Man is a monumental novel, one that can well be called  an epic of modern American Negro life.  It is a strange story, in which many extraordinary  things happen, some of them shocking and brutal, some of them pitiful and touching--yet  always with elements of comedy and irony and burlesque that appear in unexpected  places.  It is a book that has a great deal to say and which is destined to have  a great deal said about it.  After a brief prologue, the story begins with a terrifying  experience of the hero's high school days, moves quickly to the campus of a Southern  Negro college and then to New York's Harlem, where most of the action takes place.   The many people that the hero meets in the course of his wanderings are remarkably  various, complex and significant.  With them he becomes involved in an amazing series  of adventures, in which he is sometimes befriended but more often deceived and betrayed--as  much by himself and his own illusions as by the duplicity of the blindness of others.    Invisible Man is not only a great triumph of storytelling and characterization;  it is a profound and uncompromising interpretation of the Negro's anomalous position  in American society.From the Hardcover edition.",cover_images/107.jpg,3,Random House Audio,2010,Ralph Ellison,11,12.00
9066314472038,Classics,The Bridges of Madison County,"If you've ever experienced the one true love of your life, a love that for some reason could never be, you will understand why readers all over the world were so moved by this small, unknown first novel that they made it a publishing phenomenon and #1 bestseller. The story of Robert Kincaid, the photographer and free spirit searching for the covered bridges of Madison County, and Francesca Johnson, the farm wife waiting for the fulfillment of a girlhood dream, THE BRIDGES OF MADISON COUNTY gives voice to the longings of men and women everywhere-and shows us what it is to love and be loved so intensely that life is never the same again.",cover_images/108.jpg,2,Hachette Audio,2014,Robert James Waller,46,10.39
1372854157029,Classics,One Flew Over the Cuckoo's Nest 50th Anniversary Edition,"A fiftieth-anniversary edition of Ken Kesey's searing American  classic. Boisterous, ribald, and ultimately shattering, Ken Kesey's One  Flew Over the Cuckoo's Nest has left an indelible mark on the  literature of our time. Turning conventional notions of sanity and  insanity on their heads, the novel tells the unforgettable story of a  mental ward and its inhabitants, especially tyrannical Big Nurse  Ratched and Randle Patrick McMurphy, the brawling, fun-loving new  inmate who resolves to oppose her. We see the story through the eyes of  Chief Bromden, the seemingly mute half-Indian patient who witnesses and  understands McMurphy's heroic attempt to do battle with the powers that  keep them all imprisoned.Hailed upon its publication as ""a glittering parable of good and  evil"" (The New York Times Book Review) and ""a roar of protest  against middlebrow society's Rules and the invisible Rulers who enforce  them"" (Time), Kesey's powerful book went on to sell millions of  copies and remains as bracing and insightful today as when it was first  released. This new deluxe hardcover edition commemorates the fiftieth  anniversary of the original publication of the novel on February 1,  1962, and will be a must have for any literature lover.",cover_images/109.jpg,2,Penguin Audio,2012,Ken Kesey,19,8.75
